CustomerID,TotalOrders,TotalQuantity,TotalSpent,AverageUnitPrice,AverageCartSize,PricePerItem,CartUtilization,IsReferred,UniqueProducts,PaymentMethod_Cash,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,ReferralSource_Email,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,OrderStatus_Cancelled,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,AverageOrderValue,AverageQuantityPerOrder,SpendPerProduct,Cluster
C10002,1,3,1470.03,490.01,4.0,490.01,0.75,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1470.03,3.0,1470.03,1
C10054,1,2,153.48,76.74,7.0,76.74,0.2857142857142857,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,153.48,2.0,153.48,0
C10126,1,2,1349.8,674.9,4.0,674.9,0.5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1349.8,2.0,1349.8,3
C10154,1,4,1303.04,325.76,8.0,325.76,0.5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1303.04,4.0,1303.04,0
C10211,1,5,635.9,127.18,10.0,127.18,0.5,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,635.9,5.0,635.9,0
C10222,1,1,204.08,204.08,4.0,204.08,0.25,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,204.08,1.0,204.08,3
C10477,1,1,466.42,466.42,5.0,466.42,0.2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,466.42,1.0,466.42,3
C10642,1,2,922.74,461.37,5.0,461.37,0.4,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,922.74,2.0,922.74,3
C10787,1,4,1099.28,274.82,9.0,274.82,0.4444444444444444,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1099.28,4.0,1099.28,0
C10791,1,1,355.09,355.09,5.0,355.09,0.2,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,355.09,1.0,355.09,3
