OrderID,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice,Year,Month,Day,PricePerItem,CartUtilization,IsReferred
ORD200000,C72649,Monitor,5,570.62,928 Main St,Debit Card,Shipped,TRK37947903,7,SAVE10,Instagram,2853.1,2023,1,4,570.62,0.7142857142857143,1
ORD200001,C75739,Phone,2,151.35,823 Main St,Online,Shipped,TRK91186779,3,SAVE10,Referral,302.7,2024,8,23,151.35,0.6666666666666666,1
ORD200002,C81728,Tablet,5,550.68,512 Main St,Credit Card,Cancelled,TRK42903982,8,FREESHIP,Email,2753.4,2024,2,27,550.6800000000001,0.625,1
ORD200003,C33540,Chair,1,273.19,275 Main St,Debit Card,Returned,TRK62788070,5,SAVE10,Facebook,273.19,2023,10,15,273.19,0.2,1
ORD200004,C81840,Printer,4,626.01,668 Main St,Online,Delivered,TRK29241424,8,SAVE10,Email,2504.04,2025,5,8,626.01,0.5,1
ORD200005,C37249,Phone,2,245.86,934 Main St,Credit Card,Shipped,TRK72976927,4,SAVE10,Instagram,491.72,2023,10,23,245.86,0.5,1
ORD200006,C83492,Laptop,1,664.42,986 Main St,Gift Card,Returned,TRK96417362,6,SAVE10,Facebook,664.42,2025,6,17,664.42,0.16666666666666666,1
ORD200007,C41460,Monitor,5,149.55,706 Main St,Cash,Shipped,TRK78809193,9,FREESHIP,Facebook,747.75,2023,5,12,149.55,0.5555555555555556,1
ORD200008,C26817,Phone,2,134.28,904 Main St,Gift Card,Cancelled,TRK61042692,2,No coupon,Email,268.56,2025,4,2,134.28,1.0,1
ORD200009,C31946,Desk,4,509.38,102 Main St,Credit Card,Shipped,TRK33478363,6,SAVE10,Google,2037.52,2023,11,21,509.38,0.6666666666666666,1
ORD200010,C43443,Tablet,5,625.97,333 Main St,Credit Card,Returned,TRK98859248,9,WINTER15,Instagram,3129.85,2023,12,29,625.97,0.5555555555555556,1
ORD200011,C93861,Monitor,3,49.14,831 Main St,Online,Returned,TRK48234646,7,SAVE10,Email,147.42,2024,2,17,49.13999999999999,0.42857142857142855,1
ORD200012,C38785,Monitor,2,180.5,179 Main St,Debit Card,Pending,TRK20419991,6,FREESHIP,Referral,361.0,2024,10,15,180.5,0.3333333333333333,1
ORD200013,C88348,Laptop,3,201.49,903 Main St,Credit Card,Returned,TRK81913874,4,FREESHIP,Facebook,604.47,2023,8,30,201.49,0.75,1
ORD200014,C98474,Tablet,2,393.33,980 Main St,Debit Card,Pending,TRK79186539,3,SAVE10,Instagram,786.66,2023,3,27,393.33,0.6666666666666666,1
ORD200015,C39416,Printer,1,473.96,942 Main St,Cash,Delivered,TRK54930938,3,No coupon,Google,473.96,2023,7,17,473.96,0.3333333333333333,1
ORD200016,C28976,Printer,2,533.81,914 Main St,Credit Card,Pending,TRK13194259,3,FREESHIP,Email,1067.62,2023,1,24,533.81,0.6666666666666666,1
ORD200017,C60672,Tablet,1,423.4,382 Main St,Debit Card,Shipped,TRK11972116,3,No coupon,Referral,423.4,2024,3,2,423.4,0.3333333333333333,1
ORD200018,C84329,Desk,1,431.44,891 Main St,Gift Card,Pending,TRK65191045,3,SAVE10,Facebook,431.44,2025,3,26,431.44,0.3333333333333333,1
ORD200019,C14552,Monitor,5,224.0,273 Main St,Cash,Returned,TRK59101365,9,SAVE10,Google,1120.0,2023,1,23,224.0,0.5555555555555556,1
ORD200020,C54829,Chair,5,62.51,587 Main St,Cash,Pending,TRK16718651,9,WINTER15,Instagram,312.55,2023,5,8,62.510000000000005,0.5555555555555556,1
ORD200021,C99023,Monitor,4,342.95,569 Main St,Cash,Delivered,TRK52646983,6,No coupon,Google,1371.8,2024,11,17,342.95,0.6666666666666666,1
ORD200022,C34416,Monitor,2,49.62,633 Main St,Online,Pending,TRK75937350,2,SAVE10,Google,99.24,2023,1,29,49.62,1.0,1
ORD200023,C42372,Phone,4,273.25,755 Main St,Debit Card,Cancelled,TRK36168083,5,FREESHIP,Referral,1093.0,2025,4,9,273.25,0.8,1
ORD200024,C17470,Laptop,2,230.95,956 Main St,Online,Delivered,TRK28775057,3,WINTER15,Referral,461.9,2024,10,30,230.95,0.6666666666666666,1
ORD200025,C42577,Monitor,1,399.98,709 Main St,Debit Card,Delivered,TRK69423327,3,WINTER15,Email,399.98,2024,7,24,399.98,0.3333333333333333,1
ORD200026,C21944,Laptop,5,59.55,296 Main St,Online,Delivered,TRK80276812,6,No coupon,Referral,297.75,2024,3,6,59.55,0.8333333333333334,1
ORD200027,C97593,Printer,1,472.74,881 Main St,Online,Shipped,TRK89117573,6,WINTER15,Google,472.74,2024,2,22,472.74,0.16666666666666666,1
ORD200028,C59823,Phone,4,160.07,568 Main St,Online,Pending,TRK65895539,5,No coupon,Email,640.28,2023,11,21,160.07,0.8,1
ORD200029,C33260,Desk,3,423.53,930 Main St,Credit Card,Delivered,TRK59744090,6,SAVE10,Referral,1270.59,2024,9,20,423.53,0.5,1
ORD200030,C44267,Monitor,2,426.7,895 Main St,Online,Pending,TRK54751444,5,SAVE10,Referral,853.4,2025,3,22,426.7,0.4,1
ORD200031,C26445,Chair,3,500.08,996 Main St,Debit Card,Returned,TRK31229981,6,No coupon,Facebook,1500.24,2023,6,30,500.08,0.5,1
ORD200032,C12388,Tablet,5,536.72,830 Main St,Cash,Delivered,TRK99261395,10,No coupon,Email,2683.6,2023,5,1,536.72,0.5,1
ORD200033,C52184,Chair,1,162.77,912 Main St,Online,Cancelled,TRK73312471,4,WINTER15,Facebook,162.77,2023,6,5,162.77,0.25,1
ORD200034,C67195,Chair,4,576.52,926 Main St,Credit Card,Pending,TRK55467915,5,WINTER15,Facebook,2306.08,2023,1,7,576.52,0.8,1
ORD200035,C50304,Monitor,2,465.15,128 Main St,Online,Shipped,TRK46850888,2,SAVE10,Facebook,930.3,2024,12,7,465.15,1.0,1
ORD200036,C59337,Laptop,2,534.43,465 Main St,Debit Card,Pending,TRK50961250,5,No coupon,Facebook,1068.86,2025,5,8,534.43,0.4,1
ORD200037,C10054,Laptop,2,76.74,409 Main St,Cash,Returned,TRK94005261,7,SAVE10,Instagram,153.48,2024,10,14,76.74,0.2857142857142857,1
ORD200038,C15924,Laptop,1,245.89,549 Main St,Debit Card,Delivered,TRK14835975,3,SAVE10,Google,245.89,2024,12,19,245.89,0.3333333333333333,1
ORD200039,C96664,Printer,3,256.46,666 Main St,Credit Card,Delivered,TRK85508960,4,SAVE10,Referral,769.38,2025,2,27,256.46,0.75,1
ORD200040,C84766,Desk,2,344.02,267 Main St,Online,Delivered,TRK78967923,4,FREESHIP,Instagram,688.04,2023,8,20,344.02,0.5,1
ORD200041,C20212,Monitor,3,611.45,657 Main St,Gift Card,Pending,TRK69733327,4,FREESHIP,Instagram,1834.35,2023,12,5,611.4499999999999,0.75,1
ORD200042,C28712,Printer,2,151.66,980 Main St,Cash,Cancelled,TRK40772558,6,No coupon,Instagram,303.32,2024,5,6,151.66,0.3333333333333333,1
ORD200043,C60572,Chair,3,499.21,871 Main St,Online,Cancelled,TRK20351666,8,No coupon,Instagram,1497.63,2023,12,14,499.21000000000004,0.375,1
ORD200044,C73225,Phone,2,550.18,996 Main St,Gift Card,Returned,TRK73848522,3,FREESHIP,Referral,1100.36,2025,4,21,550.18,0.6666666666666666,1
ORD200045,C17388,Chair,1,317.25,157 Main St,Debit Card,Returned,TRK47077395,1,SAVE10,Facebook,317.25,2024,2,10,317.25,1.0,1
ORD200046,C43212,Monitor,4,550.14,223 Main St,Debit Card,Pending,TRK25100762,4,FREESHIP,Instagram,2200.56,2024,6,26,550.14,1.0,1
ORD200047,C38134,Desk,2,209.94,323 Main St,Credit Card,Returned,TRK42450754,3,FREESHIP,Email,419.88,2023,7,19,209.94,0.6666666666666666,1
ORD200048,C12408,Monitor,2,80.77,464 Main St,Debit Card,Shipped,TRK38938858,4,No coupon,Google,161.54,2023,8,26,80.77,0.5,1
ORD200049,C11985,Printer,1,30.44,633 Main St,Credit Card,Shipped,TRK53272402,1,SAVE10,Email,30.44,2023,10,7,30.44,1.0,1
ORD200050,C96494,Tablet,1,179.22,446 Main St,Online,Cancelled,TRK14675049,6,FREESHIP,Instagram,179.22,2023,7,31,179.22,0.16666666666666666,1
ORD200051,C36778,Tablet,1,388.33,434 Main St,Cash,Returned,TRK67610289,2,SAVE10,Facebook,388.33,2024,12,30,388.33,0.5,1
ORD200052,C30513,Tablet,1,586.44,232 Main St,Online,Returned,TRK64320429,5,SAVE10,Facebook,586.44,2024,9,8,586.44,0.2,1
ORD200053,C67551,Phone,4,488.78,512 Main St,Online,Returned,TRK94992552,5,FREESHIP,Google,1955.12,2024,5,18,488.78,0.8,1
ORD200054,C48120,Chair,1,280.25,623 Main St,Online,Pending,TRK11014449,5,WINTER15,Email,280.25,2025,3,27,280.25,0.2,1
ORD200055,C95984,Printer,3,344.4,565 Main St,Online,Cancelled,TRK67434829,3,No coupon,Facebook,1033.2,2025,6,24,344.40000000000003,1.0,1
ORD200056,C54298,Tablet,3,479.21,566 Main St,Cash,Cancelled,TRK62902341,5,WINTER15,Referral,1437.63,2023,5,21,479.21000000000004,0.6,1
ORD200057,C88036,Printer,5,314.27,842 Main St,Cash,Returned,TRK52470128,6,SAVE10,Instagram,1571.35,2023,1,22,314.27,0.8333333333333334,1
ORD200058,C60190,Phone,4,474.69,202 Main St,Gift Card,Cancelled,TRK70857868,6,SAVE10,Google,1898.76,2023,1,15,474.69,0.6666666666666666,1
ORD200059,C97603,Chair,4,593.27,811 Main St,Online,Shipped,TRK47055028,5,No coupon,Facebook,2373.08,2024,9,11,593.27,0.8,1
ORD200060,C39256,Desk,1,417.1,634 Main St,Debit Card,Returned,TRK23412025,3,FREESHIP,Referral,417.1,2024,8,21,417.1,0.3333333333333333,1
ORD200061,C61618,Desk,4,122.2,104 Main St,Cash,Delivered,TRK43458485,7,FREESHIP,Facebook,488.8,2024,3,24,122.2,0.5714285714285714,1
ORD200062,C36497,Desk,2,43.15,691 Main St,Debit Card,Pending,TRK12102911,3,WINTER15,Email,86.3,2023,8,22,43.15,0.6666666666666666,1
ORD200063,C96695,Chair,1,564.86,813 Main St,Debit Card,Shipped,TRK64283851,6,WINTER15,Referral,564.86,2025,2,2,564.86,0.16666666666666666,1
ORD200064,C49720,Printer,3,130.61,752 Main St,Debit Card,Cancelled,TRK55785217,4,FREESHIP,Facebook,391.83,2025,6,25,130.60999999999999,0.75,1
ORD200065,C97735,Monitor,5,81.7,385 Main St,Credit Card,Delivered,TRK13743703,6,No coupon,Instagram,408.5,2023,12,30,81.7,0.8333333333333334,1
ORD200066,C18104,Chair,5,127.18,715 Main St,Cash,Cancelled,TRK15488568,9,SAVE10,Referral,635.9,2024,11,15,127.17999999999999,0.5555555555555556,1
ORD200067,C25587,Printer,4,12.1,440 Main St,Debit Card,Cancelled,TRK55105323,8,No coupon,Google,48.4,2024,12,9,12.1,0.5,1
ORD200068,C41598,Chair,3,490.92,709 Main St,Credit Card,Pending,TRK81665940,5,FREESHIP,Email,1472.76,2023,12,11,490.92,0.6,1
ORD200069,C43338,Monitor,3,478.65,552 Main St,Online,Shipped,TRK35241775,4,No coupon,Referral,1435.95,2023,5,11,478.65000000000003,0.75,1
ORD200070,C25123,Desk,1,629.21,384 Main St,Gift Card,Pending,TRK27812282,2,FREESHIP,Instagram,629.21,2023,5,26,629.21,0.5,1
ORD200071,C37454,Monitor,3,434.45,923 Main St,Credit Card,Pending,TRK28252730,4,No coupon,Referral,1303.35,2025,6,10,434.45,0.75,1
ORD200072,C19451,Tablet,4,589.44,942 Main St,Gift Card,Returned,TRK87787793,5,No coupon,Facebook,2357.76,2024,12,22,589.44,0.8,1
ORD200073,C17269,Monitor,4,433.45,129 Main St,Gift Card,Cancelled,TRK79608389,4,No coupon,Facebook,1733.8,2023,5,3,433.45,1.0,1
ORD200074,C25382,Phone,5,90.87,622 Main St,Cash,Pending,TRK64691287,5,No coupon,Instagram,454.35,2023,6,24,90.87,1.0,1
ORD200075,C80651,Tablet,3,398.17,917 Main St,Debit Card,Delivered,TRK14846720,5,SAVE10,Email,1194.51,2023,9,26,398.17,0.6,1
ORD200076,C58638,Laptop,4,382.88,239 Main St,Cash,Cancelled,TRK38224871,6,WINTER15,Email,1531.52,2024,3,31,382.88,0.6666666666666666,1
ORD200077,C50121,Phone,1,583.18,348 Main St,Credit Card,Returned,TRK79810059,5,No coupon,Google,583.18,2024,5,24,583.18,0.2,1
ORD200078,C32029,Printer,4,175.36,146 Main St,Debit Card,Delivered,TRK68535532,4,FREESHIP,Instagram,701.44,2024,8,6,175.36,1.0,1
ORD200079,C76700,Tablet,2,311.91,103 Main St,Online,Shipped,TRK13036341,2,No coupon,Facebook,623.82,2025,3,10,311.91,1.0,1
ORD200080,C29041,Phone,3,589.56,591 Main St,Online,Returned,TRK28840655,6,No coupon,Facebook,1768.68,2023,6,27,589.5600000000001,0.5,1
ORD200081,C29314,Monitor,2,394.3,496 Main St,Cash,Shipped,TRK59876213,6,FREESHIP,Email,788.6,2023,6,8,394.3,0.3333333333333333,1
ORD200082,C65799,Tablet,4,565.2,971 Main St,Debit Card,Shipped,TRK66906607,9,SAVE10,Google,2260.8,2024,1,5,565.2,0.4444444444444444,1
ORD200083,C15681,Laptop,4,540.41,989 Main St,Credit Card,Cancelled,TRK75112172,6,No coupon,Referral,2161.64,2023,8,22,540.41,0.6666666666666666,1
ORD200084,C64160,Monitor,2,165.49,967 Main St,Online,Shipped,TRK34121529,4,WINTER15,Instagram,330.98,2023,8,28,165.49,0.5,1
ORD200085,C14553,Tablet,3,146.73,768 Main St,Cash,Delivered,TRK93538334,8,FREESHIP,Email,440.19,2024,9,9,146.73,0.375,1
ORD200086,C88205,Printer,5,643.03,447 Main St,Online,Cancelled,TRK93504166,5,FREESHIP,Referral,3215.15,2024,6,19,643.03,1.0,1
ORD200087,C91245,Tablet,3,225.11,915 Main St,Cash,Shipped,TRK46976391,4,SAVE10,Facebook,675.33,2024,10,10,225.11,0.75,1
ORD200088,C75439,Desk,3,114.81,318 Main St,Gift Card,Cancelled,TRK19831653,7,No coupon,Google,344.43,2025,6,5,114.81,0.42857142857142855,1
ORD200089,C17181,Printer,5,455.33,291 Main St,Credit Card,Cancelled,TRK78912978,8,FREESHIP,Google,2276.65,2025,2,25,455.33000000000004,0.625,1
ORD200090,C36540,Chair,4,182.08,611 Main St,Gift Card,Delivered,TRK35828122,4,SAVE10,Email,728.32,2023,9,18,182.08,1.0,1
ORD200091,C98216,Laptop,5,492.75,196 Main St,Cash,Shipped,TRK40986666,6,WINTER15,Referral,2463.75,2023,3,15,492.75,0.8333333333333334,1
ORD200092,C29568,Printer,4,48.61,203 Main St,Online,Shipped,TRK46531075,7,FREESHIP,Facebook,194.44,2024,6,10,48.61,0.5714285714285714,1
ORD200093,C97262,Desk,4,431.01,837 Main St,Credit Card,Returned,TRK65990229,7,No coupon,Referral,1724.04,2023,1,14,431.01,0.5714285714285714,1
ORD200094,C79821,Chair,1,531.18,781 Main St,Gift Card,Returned,TRK12780193,6,WINTER15,Instagram,531.18,2023,2,11,531.18,0.16666666666666666,1
ORD200095,C76761,Printer,4,117.51,839 Main St,Debit Card,Returned,TRK60179774,7,No coupon,Referral,470.04,2023,3,24,117.51,0.5714285714285714,1
ORD200096,C93007,Phone,2,232.83,103 Main St,Gift Card,Delivered,TRK85696091,7,No coupon,Instagram,465.66,2024,6,1,232.83,0.2857142857142857,1
ORD200097,C15624,Tablet,5,619.52,922 Main St,Debit Card,Pending,TRK40621141,9,No coupon,Email,3097.6,2025,1,21,619.52,0.5555555555555556,1
ORD200098,C70921,Printer,2,228.54,533 Main St,Debit Card,Pending,TRK54983109,3,No coupon,Email,457.08,2023,1,14,228.54,0.6666666666666666,1
ORD200099,C30477,Printer,1,201.58,717 Main St,Debit Card,Cancelled,TRK51829648,2,WINTER15,Email,201.58,2025,4,12,201.58,0.5,1
ORD200100,C74866,Phone,3,664.79,743 Main St,Online,Delivered,TRK53783265,6,No coupon,Facebook,1994.37,2023,2,17,664.79,0.5,1
ORD200101,C15283,Printer,1,381.02,152 Main St,Cash,Shipped,TRK19286291,6,No coupon,Google,381.02,2023,11,25,381.02,0.16666666666666666,1
ORD200102,C18037,Laptop,2,70.34,944 Main St,Gift Card,Cancelled,TRK47362236,3,FREESHIP,Email,140.68,2023,3,8,70.34,0.6666666666666666,1
ORD200103,C62656,Phone,4,218.43,514 Main St,Credit Card,Cancelled,TRK86296459,9,SAVE10,Email,873.72,2025,1,25,218.43,0.4444444444444444,1
ORD200104,C65744,Phone,1,582.04,647 Main St,Gift Card,Delivered,TRK39906058,1,FREESHIP,Email,582.04,2024,7,30,582.04,1.0,1
ORD200105,C72290,Printer,3,185.4,810 Main St,Gift Card,Cancelled,TRK68792129,7,No coupon,Facebook,556.2,2024,10,24,185.4,0.42857142857142855,1
ORD200106,C73514,Desk,3,465.05,126 Main St,Credit Card,Cancelled,TRK96777924,3,SAVE10,Email,1395.15,2023,9,8,465.05,1.0,1
ORD200108,C33099,Laptop,5,48.38,522 Main St,Gift Card,Delivered,TRK28522330,9,WINTER15,Email,241.9,2024,12,28,48.38,0.5555555555555556,1
ORD200109,C51157,Desk,3,592.87,131 Main St,Gift Card,Shipped,TRK18674578,3,FREESHIP,Referral,1778.61,2023,9,17,592.87,1.0,1
ORD200110,C74562,Tablet,1,220.77,388 Main St,Gift Card,Pending,TRK32062079,5,FREESHIP,Instagram,220.77,2024,4,21,220.77,0.2,1
ORD200111,C95271,Desk,3,309.22,620 Main St,Online,Cancelled,TRK74904969,7,FREESHIP,Google,927.66,2025,5,7,309.21999999999997,0.42857142857142855,1
ORD200112,C81366,Monitor,1,410.6,423 Main St,Online,Cancelled,TRK17062206,2,WINTER15,Referral,410.6,2023,1,1,410.6,0.5,1
ORD200113,C65905,Laptop,5,190.08,605 Main St,Cash,Shipped,TRK73954365,9,FREESHIP,Instagram,950.4,2024,1,17,190.07999999999998,0.5555555555555556,1
ORD200114,C77272,Monitor,5,498.48,115 Main St,Online,Pending,TRK29708128,8,SAVE10,Google,2492.4,2025,1,27,498.48,0.625,1
ORD200115,C32580,Phone,5,374.99,122 Main St,Online,Shipped,TRK23670394,9,SAVE10,Facebook,1874.95,2023,11,27,374.99,0.5555555555555556,1
ORD200116,C47761,Printer,4,291.35,109 Main St,Credit Card,Cancelled,TRK66669207,6,WINTER15,Facebook,1165.4,2023,3,19,291.35,0.6666666666666666,1
